"Time","sum(rabbitmq_queue_messages)","sum(rate(rabbitmq_queue_messages_delivered_ack_total[5m]))","C"
2025-04-08 21:23:00,0,0,0
2025-04-08 21:23:01,0,0,0
2025-04-08 21:23:02,0,0,0
2025-04-08 21:23:03,0,0,0
2025-04-08 21:23:04,0,0,0
2025-04-08 21:23:05,0,0,0
2025-04-08 21:23:06,0,0,0
2025-04-08 21:23:07,0,0,0
2025-04-08 21:23:08,0,0,0
2025-04-08 21:23:09,0,0,0
2025-04-08 21:23:10,0,0,0
2025-04-08 21:23:11,0,0,0
2025-04-08 21:23:12,0,0,0
2025-04-08 21:23:13,0,0,0
2025-04-08 21:23:14,0,0,0
2025-04-08 21:23:15,0,0,0
2025-04-08 21:23:16,0,0,0
2025-04-08 21:23:17,0,0,0
2025-04-08 21:23:18,0,0,0
2025-04-08 21:23:19,0,0.00702,0
2025-04-08 21:23:20,0,0.00702,0
2025-04-08 21:23:21,0,0.00702,0
2025-04-08 21:23:22,0,0.00702,0
2025-04-08 21:23:23,0,0.00702,0
2025-04-08 21:23:24,0,0.00702,0
2025-04-08 21:23:25,0,0.00702,0
2025-04-08 21:23:26,0,0.00702,0
2025-04-08 21:23:27,0,0.00702,0
2025-04-08 21:23:28,0,0.00702,0
2025-04-08 21:23:29,0,0.00702,0
2025-04-08 21:23:30,0,0.00702,0
2025-04-08 21:23:31,0,0.00702,0
2025-04-08 21:23:32,0,0.00702,0
2025-04-08 21:23:33,0,0.00702,0
2025-04-08 21:23:34,33,0.130,29.2
2025-04-08 21:23:35,33,0.130,29.2
2025-04-08 21:23:36,33,0.130,29.2
2025-04-08 21:23:37,33,0.130,29.2
2025-04-08 21:23:38,33,0.130,29.2
2025-04-08 21:23:39,33,0.130,29.2
2025-04-08 21:23:40,33,0.130,29.2
2025-04-08 21:23:41,33,0.130,29.2
2025-04-08 21:23:42,33,0.130,29.2
2025-04-08 21:23:43,33,0.130,29.2
2025-04-08 21:23:44,33,0.130,29.2
2025-04-08 21:23:45,33,0.130,29.2
2025-04-08 21:23:46,33,0.130,29.2
2025-04-08 21:23:47,33,0.130,29.2
2025-04-08 21:23:48,33,0.130,29.2
2025-04-08 21:23:49,124,0.253,99.0
2025-04-08 21:23:50,124,0.253,99.0
2025-04-08 21:23:51,124,0.253,99.0
2025-04-08 21:23:52,124,0.253,99.0
2025-04-08 21:23:53,124,0.253,99.0
2025-04-08 21:23:54,124,0.253,99.0
2025-04-08 21:23:55,124,0.253,99.0
2025-04-08 21:23:56,124,0.253,99.0
2025-04-08 21:23:57,124,0.253,99.0
2025-04-08 21:23:58,124,0.253,99.0
2025-04-08 21:23:59,124,0.253,99.0
2025-04-08 21:24:00,124,0.253,99.0
2025-04-08 21:24:01,124,0.253,99.0
2025-04-08 21:24:02,124,0.253,99.0
2025-04-08 21:24:03,124,0.253,99.0
2025-04-08 21:24:04,246,0.379,178
2025-04-08 21:24:05,246,0.379,178
2025-04-08 21:24:06,246,0.379,178
2025-04-08 21:24:07,246,0.379,178
2025-04-08 21:24:08,246,0.379,178
2025-04-08 21:24:09,246,0.379,178
2025-04-08 21:24:10,246,0.379,178
2025-04-08 21:24:11,246,0.379,178
2025-04-08 21:24:12,246,0.379,178
2025-04-08 21:24:13,246,0.379,178
2025-04-08 21:24:14,246,0.379,178
2025-04-08 21:24:15,246,0.379,178
2025-04-08 21:24:16,246,0.379,178
2025-04-08 21:24:17,246,0.379,178
2025-04-08 21:24:18,246,0.379,178
2025-04-08 21:24:19,362,0.537,236
2025-04-08 21:24:20,362,0.537,236
2025-04-08 21:24:21,362,0.537,236
2025-04-08 21:24:22,362,0.537,236
2025-04-08 21:24:23,362,0.537,236
2025-04-08 21:24:24,362,0.537,236
2025-04-08 21:24:25,362,0.537,236
2025-04-08 21:24:26,362,0.537,236
2025-04-08 21:24:27,362,0.537,236
2025-04-08 21:24:28,362,0.537,236
2025-04-08 21:24:29,362,0.537,236
2025-04-08 21:24:30,362,0.537,236
2025-04-08 21:24:31,362,0.537,236
2025-04-08 21:24:32,362,0.537,236
2025-04-08 21:24:33,362,0.537,236
