"Time","{instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}","{instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}","C {instance=""54.146.199.131:15692"", job=""amazonmq-rabbitmq""}"
2025-04-08 21:23:00,0.000,0.000,0.000
2025-04-08 21:23:01,0.000,0.000,0.000
2025-04-08 21:23:02,0.000,0.000,0.000
2025-04-08 21:23:03,0.000,0.000,0.000
2025-04-08 21:23:04,0.000,0.000,0.000
2025-04-08 21:23:05,0.000,0.000,0.000
2025-04-08 21:23:06,0.000,0.000,0.000
2025-04-08 21:23:07,0.000,0.000,0.000
2025-04-08 21:23:08,0.000,0.000,0.000
2025-04-08 21:23:09,0.000,0.000,0.000
2025-04-08 21:23:10,0.000,0.000,0.000
2025-04-08 21:23:11,0.000,0.000,0.000
2025-04-08 21:23:12,0.000,0.000,0.000
2025-04-08 21:23:13,0.000,0.000,0.000
2025-04-08 21:23:14,0.000,0.000,0.000
2025-04-08 21:23:15,0.000,0.000,0.000
2025-04-08 21:23:16,0.000,0.000,0.000
2025-04-08 21:23:17,0.000,0.000,0.000
2025-04-08 21:23:18,0.000,0.000,0.000
2025-04-08 21:23:19,0.007,0.007,0.875
2025-04-08 21:23:20,0.007,0.007,0.875
2025-04-08 21:23:21,0.007,0.007,0.875
2025-04-08 21:23:22,0.007,0.007,0.875
2025-04-08 21:23:23,0.007,0.007,0.875
2025-04-08 21:23:24,0.007,0.007,0.875
2025-04-08 21:23:25,0.007,0.007,0.875
2025-04-08 21:23:26,0.007,0.007,0.875
2025-04-08 21:23:27,0.007,0.007,0.875
2025-04-08 21:23:28,0.007,0.007,0.875
2025-04-08 21:23:29,0.007,0.007,0.875
2025-04-08 21:23:30,0.007,0.007,0.875
2025-04-08 21:23:31,0.007,0.007,0.875
2025-04-08 21:23:32,0.007,0.007,0.875
2025-04-08 21:23:33,0.007,0.007,0.875
2025-04-08 21:23:34,0.277,0.130,2.119
2025-04-08 21:23:35,0.277,0.130,2.119
2025-04-08 21:23:36,0.277,0.130,2.119
2025-04-08 21:23:37,0.277,0.130,2.119
2025-04-08 21:23:38,0.277,0.130,2.119
2025-04-08 21:23:39,0.277,0.130,2.119
2025-04-08 21:23:40,0.277,0.130,2.119
2025-04-08 21:23:41,0.277,0.130,2.119
2025-04-08 21:23:42,0.277,0.130,2.119
2025-04-08 21:23:43,0.277,0.130,2.119
2025-04-08 21:23:44,0.277,0.130,2.119
2025-04-08 21:23:45,0.277,0.130,2.119
2025-04-08 21:23:46,0.277,0.130,2.119
2025-04-08 21:23:47,0.277,0.130,2.119
2025-04-08 21:23:48,0.277,0.130,2.119
2025-04-08 21:23:49,0.723,0.253,2.850
2025-04-08 21:23:50,0.723,0.253,2.850
2025-04-08 21:23:51,0.723,0.253,2.850
2025-04-08 21:23:52,0.723,0.253,2.850
2025-04-08 21:23:53,0.723,0.253,2.850
2025-04-08 21:23:54,0.723,0.253,2.850
2025-04-08 21:23:55,0.723,0.253,2.850
2025-04-08 21:23:56,0.723,0.253,2.850
2025-04-08 21:23:57,0.723,0.253,2.850
2025-04-08 21:23:58,0.723,0.253,2.850
2025-04-08 21:23:59,0.723,0.253,2.850
2025-04-08 21:24:00,0.723,0.253,2.850
2025-04-08 21:24:01,0.723,0.253,2.850
2025-04-08 21:24:02,0.723,0.253,2.850
2025-04-08 21:24:03,0.723,0.253,2.850
2025-04-08 21:24:04,1.270,0.379,3.343
2025-04-08 21:24:05,1.270,0.379,3.343
2025-04-08 21:24:06,1.270,0.379,3.343
2025-04-08 21:24:07,1.270,0.379,3.343
2025-04-08 21:24:08,1.270,0.379,3.343
2025-04-08 21:24:09,1.270,0.379,3.343
2025-04-08 21:24:10,1.270,0.379,3.343
2025-04-08 21:24:11,1.270,0.379,3.343
2025-04-08 21:24:12,1.270,0.379,3.343
2025-04-08 21:24:13,1.270,0.379,3.343
2025-04-08 21:24:14,1.270,0.379,3.343
2025-04-08 21:24:15,1.270,0.379,3.343
2025-04-08 21:24:16,1.270,0.379,3.343
2025-04-08 21:24:17,1.270,0.379,3.343
2025-04-08 21:24:18,1.270,0.379,3.343
2025-04-08 21:24:19,1.804,0.537,3.353
2025-04-08 21:24:20,1.804,0.537,3.353
2025-04-08 21:24:21,1.804,0.537,3.353
2025-04-08 21:24:22,1.804,0.537,3.353
2025-04-08 21:24:23,1.804,0.537,3.353
2025-04-08 21:24:24,1.804,0.537,3.353
2025-04-08 21:24:25,1.804,0.537,3.353
2025-04-08 21:24:26,1.804,0.537,3.353
2025-04-08 21:24:27,1.804,0.537,3.353
2025-04-08 21:24:28,1.804,0.537,3.353
2025-04-08 21:24:29,1.804,0.537,3.353
2025-04-08 21:24:30,1.804,0.537,3.353
2025-04-08 21:24:31,1.804,0.537,3.353
2025-04-08 21:24:32,1.804,0.537,3.353
2025-04-08 21:24:33,1.804,0.537,3.353
2025-04-08 21:24:34,2.060,0.628,3.274
2025-04-08 21:24:35,2.060,0.628,3.274
2025-04-08 21:24:36,2.060,0.628,3.274
2025-04-08 21:24:37,2.060,0.628,3.274
2025-04-08 21:24:38,2.060,0.628,3.274
2025-04-08 21:24:39,2.060,0.628,3.274
2025-04-08 21:24:40,2.060,0.628,3.274
2025-04-08 21:24:41,2.060,0.628,3.274
2025-04-08 21:24:42,2.060,0.628,3.274
2025-04-08 21:24:43,2.060,0.628,3.274
2025-04-08 21:24:44,2.060,0.628,3.274
2025-04-08 21:24:45,2.060,0.628,3.274
2025-04-08 21:24:46,2.060,0.628,3.274
2025-04-08 21:24:47,2.060,0.628,3.274
2025-04-08 21:24:48,2.060,0.628,3.274
2025-04-08 21:24:49,2.060,0.751,2.739
2025-04-08 21:24:50,2.060,0.751,2.739
2025-04-08 21:24:51,2.060,0.751,2.739
2025-04-08 21:24:52,2.060,0.751,2.739
2025-04-08 21:24:53,2.060,0.751,2.739
2025-04-08 21:24:54,2.060,0.751,2.739
2025-04-08 21:24:55,2.060,0.751,2.739
2025-04-08 21:24:56,2.060,0.751,2.739
2025-04-08 21:24:57,2.060,0.751,2.739
2025-04-08 21:24:58,2.060,0.751,2.739
2025-04-08 21:24:59,2.060,0.751,2.739
2025-04-08 21:25:00,2.060,0.751,2.739
2025-04-08 21:25:01,2.060,0.751,2.739
