"Time","sum(rabbitmq_queue_messages)","sum(rate(rabbitmq_queue_messages_delivered_ack_total[5m]))","C"
2025-03-30 15:16:00,0,0,0
2025-03-30 15:16:01,0,0,0
2025-03-30 15:16:02,0,0,0
2025-03-30 15:16:03,0,0,0
2025-03-30 15:16:04,0,0,0
2025-03-30 15:16:05,0,0,0
2025-03-30 15:16:06,0,0,0
2025-03-30 15:16:07,0,0,0
2025-03-30 15:16:08,0,0,0
2025-03-30 15:16:09,0,0,0
2025-03-30 15:16:10,0,0,0
2025-03-30 15:16:11,0,0,0
2025-03-30 15:16:12,0,0,0
2025-03-30 15:16:13,0,0,0
2025-03-30 15:16:14,0,0,0
2025-03-30 15:16:15,0,0,0
2025-03-30 15:16:16,0,0,0
2025-03-30 15:16:17,0,0,0
2025-03-30 15:16:18,0,0,0
2025-03-30 15:16:19,0,0,0
2025-03-30 15:16:20,0,0,0
2025-03-30 15:16:21,0,0,0
2025-03-30 15:16:22,0,0,0
2025-03-30 15:16:23,0,0,0
2025-03-30 15:16:24,0,0,0
2025-03-30 15:16:25,0,0,0
2025-03-30 15:16:26,0,0,0
2025-03-30 15:16:27,0,0,0
2025-03-30 15:16:28,0,0,0
2025-03-30 15:16:29,0,0,0
2025-03-30 15:16:30,0,0,0
2025-03-30 15:16:31,0,0,0
2025-03-30 15:16:32,0,0,0
2025-03-30 15:16:33,0,0,0
2025-03-30 15:16:34,0,0,0
2025-03-30 15:16:35,0,0,0
2025-03-30 15:16:36,0,0,0
2025-03-30 15:16:37,0,0,0
2025-03-30 15:16:38,0,0,0
2025-03-30 15:16:39,0,0,0
2025-03-30 15:16:40,0,0,0
2025-03-30 15:16:41,0,0,0
2025-03-30 15:16:42,0,0,0
2025-03-30 15:16:43,0,0,0
2025-03-30 15:16:44,0,0,0
2025-03-30 15:16:45,0,0,0
2025-03-30 15:16:46,0,0,0
2025-03-30 15:16:47,0,0,0
2025-03-30 15:16:48,0,0,0
2025-03-30 15:16:49,0,0,0
2025-03-30 15:16:50,0,0,0
2025-03-30 15:16:51,0,0,0
2025-03-30 15:16:52,0,0,0
2025-03-30 15:16:53,0,0,0
2025-03-30 15:16:54,0,0,0
2025-03-30 15:16:55,0,0,0
2025-03-30 15:16:56,0,0,0
2025-03-30 15:16:57,0,0,0
2025-03-30 15:16:58,11,0.0982,10.0
2025-03-30 15:16:59,11,0.0982,10.0
2025-03-30 15:17:00,11,0.0982,10.0
2025-03-30 15:17:01,11,0.0982,10.0
2025-03-30 15:17:02,11,0.0982,10.0
2025-03-30 15:17:03,11,0.0982,10.0
2025-03-30 15:17:04,11,0.0982,10.0
2025-03-30 15:17:05,11,0.0982,10.0
2025-03-30 15:17:06,11,0.0982,10.0
2025-03-30 15:17:07,11,0.0982,10.0
2025-03-30 15:17:08,11,0.0982,10.0
2025-03-30 15:17:09,11,0.0982,10.0
2025-03-30 15:17:10,11,0.0982,10.0
2025-03-30 15:17:11,11,0.0982,10.0
2025-03-30 15:17:12,11,0.0982,10.0
2025-03-30 15:17:13,117,0.228,95.3
2025-03-30 15:17:14,117,0.228,95.3
2025-03-30 15:17:15,117,0.228,95.3
2025-03-30 15:17:16,117,0.228,95.3
2025-03-30 15:17:17,117,0.228,95.3
2025-03-30 15:17:18,117,0.228,95.3
2025-03-30 15:17:19,117,0.228,95.3
2025-03-30 15:17:20,117,0.228,95.3
2025-03-30 15:17:21,117,0.228,95.3
2025-03-30 15:17:22,117,0.228,95.3
2025-03-30 15:17:23,117,0.228,95.3
2025-03-30 15:17:24,117,0.228,95.3
2025-03-30 15:17:25,117,0.228,95.3
2025-03-30 15:17:26,117,0.228,95.3
2025-03-30 15:17:27,117,0.228,95.3
2025-03-30 15:17:28,338,0.361,248
2025-03-30 15:17:29,338,0.361,248
2025-03-30 15:17:30,338,0.361,248
2025-03-30 15:17:31,338,0.361,248
2025-03-30 15:17:32,338,0.361,248
2025-03-30 15:17:33,338,0.361,248
2025-03-30 15:17:34,338,0.361,248
2025-03-30 15:17:35,338,0.361,248
2025-03-30 15:17:36,338,0.361,248
2025-03-30 15:17:37,338,0.361,248
2025-03-30 15:17:38,338,0.361,248
2025-03-30 15:17:39,338,0.361,248
2025-03-30 15:17:40,338,0.361,248
2025-03-30 15:17:41,338,0.361,248
2025-03-30 15:17:42,338,0.361,248
2025-03-30 15:17:43,654,0.498,437
2025-03-30 15:17:44,654,0.498,437
2025-03-30 15:17:45,654,0.498,437
2025-03-30 15:17:46,654,0.498,437
2025-03-30 15:17:47,654,0.498,437
2025-03-30 15:17:48,654,0.498,437
2025-03-30 15:17:49,654,0.498,437
2025-03-30 15:17:50,654,0.498,437
2025-03-30 15:17:51,654,0.498,437
2025-03-30 15:17:52,654,0.498,437
2025-03-30 15:17:53,654,0.498,437
2025-03-30 15:17:54,654,0.498,437
2025-03-30 15:17:55,654,0.498,437
2025-03-30 15:17:56,654,0.498,437
2025-03-30 15:17:57,654,0.498,437
2025-03-30 15:17:58,709,0.625,436
2025-03-30 15:17:59,709,0.625,436
2025-03-30 15:18:00,709,0.625,436
2025-03-30 15:18:01,709,0.625,436
2025-03-30 15:18:02,709,0.625,436
2025-03-30 15:18:03,709,0.625,436
2025-03-30 15:18:04,709,0.625,436
2025-03-30 15:18:05,709,0.625,436
2025-03-30 15:18:06,709,0.625,436
2025-03-30 15:18:07,709,0.625,436
2025-03-30 15:18:08,709,0.625,436
2025-03-30 15:18:09,709,0.625,436
2025-03-30 15:18:10,709,0.625,436
2025-03-30 15:18:11,709,0.625,436
2025-03-30 15:18:12,709,0.625,436
2025-03-30 15:18:13,670,0.754,382
2025-03-30 15:18:14,670,0.754,382
2025-03-30 15:18:15,670,0.754,382
2025-03-30 15:18:16,670,0.754,382
2025-03-30 15:18:17,670,0.754,382
