"Time","{instance=""rabbitmq:15692"", job=""rabbitmq""}","{instance=""rabbitmq:15692"", job=""rabbitmq""}","B {instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-03-28 23:30:00,0,0,NaN
2025-03-28 23:30:01,0,0,NaN
2025-03-28 23:30:02,0,0,NaN
2025-03-28 23:30:03,0,0,NaN
2025-03-28 23:30:04,0,0,NaN
2025-03-28 23:30:05,0,0,NaN
2025-03-28 23:30:06,0,0,NaN
2025-03-28 23:30:07,0,0,NaN
2025-03-28 23:30:08,0,0,NaN
2025-03-28 23:30:09,0,0,NaN
2025-03-28 23:30:10,0,0,NaN
2025-03-28 23:30:11,0,0,NaN
2025-03-28 23:30:12,0,0,NaN
2025-03-28 23:30:13,0,0,NaN
2025-03-28 23:30:14,0,0,NaN
2025-03-28 23:30:15,0,0,NaN
2025-03-28 23:30:16,0,0,NaN
2025-03-28 23:30:17,0,0,NaN
2025-03-28 23:30:18,0,0,NaN
2025-03-28 23:30:19,0,0,NaN
2025-03-28 23:30:20,0,0,NaN
2025-03-28 23:30:21,0,0,NaN
2025-03-28 23:30:22,0,0,NaN
2025-03-28 23:30:23,0,0,NaN
2025-03-28 23:30:24,0,0,NaN
2025-03-28 23:30:25,0,0,NaN
2025-03-28 23:30:26,0,0,NaN
2025-03-28 23:30:27,0,0,NaN
2025-03-28 23:30:28,0,0,NaN
2025-03-28 23:30:29,0.0675,0,∞
2025-03-28 23:30:30,0.0687,0,∞
2025-03-28 23:30:31,0.0699,0,∞
2025-03-28 23:30:32,0.0712,0,∞
2025-03-28 23:30:33,0.0724,0,∞
2025-03-28 23:30:34,0.253,0,∞
2025-03-28 23:30:35,0.258,0,∞
2025-03-28 23:30:36,0.262,0,∞
2025-03-28 23:30:37,0.267,0,∞
2025-03-28 23:30:38,0.271,0,∞
2025-03-28 23:30:39,0.692,0,∞
2025-03-28 23:30:40,0.704,0,∞
2025-03-28 23:30:41,0.717,0,∞
2025-03-28 23:30:42,0.729,0,∞
2025-03-28 23:30:43,0.742,0,∞
2025-03-28 23:30:44,1.42,0,∞
2025-03-28 23:30:45,1.44,0,∞
2025-03-28 23:30:46,1.47,0,∞
2025-03-28 23:30:47,1.49,0,∞
2025-03-28 23:30:48,1.52,0,∞
2025-03-28 23:30:49,2.13,0,∞
2025-03-28 23:30:50,2.16,0,∞
2025-03-28 23:30:51,2.20,0,∞
2025-03-28 23:30:52,2.24,0,∞
2025-03-28 23:30:53,2.28,0,∞
2025-03-28 23:30:54,2.80,0,∞
2025-03-28 23:30:55,2.85,0,∞
2025-03-28 23:30:56,2.90,0,∞
2025-03-28 23:30:57,2.95,0,∞
2025-03-28 23:30:58,3.00,0,∞
2025-03-28 23:30:59,3.48,0,∞
2025-03-28 23:31:00,3.54,0,∞
2025-03-28 23:31:01,3.60,0,∞
