"Time","sum(rabbitmq_queue_messages)","sum(rate(rabbitmq_queue_messages_delivered_ack_total[5m]))","C"
2025-04-06 23:47:00,0,0,0
2025-04-06 23:47:01,0,0,0
2025-04-06 23:47:02,0,0,0
2025-04-06 23:47:03,0,0,0
2025-04-06 23:47:04,0,0,0
2025-04-06 23:47:05,0,0,0
2025-04-06 23:47:06,0,0,0
2025-04-06 23:47:07,0,0,0
2025-04-06 23:47:08,0,0,0
2025-04-06 23:47:09,0,0,0
2025-04-06 23:47:10,0,0,0
2025-04-06 23:47:11,0,0,0
2025-04-06 23:47:12,0,0,0
2025-04-06 23:47:13,0,0,0
2025-04-06 23:47:14,0,0,0
2025-04-06 23:47:15,0,0,0
2025-04-06 23:47:16,0,0,0
2025-04-06 23:47:17,0,0,0
2025-04-06 23:47:18,0,0,0
2025-04-06 23:47:19,0,0,0
2025-04-06 23:47:20,0,0,0
2025-04-06 23:47:21,0,0,0
2025-04-06 23:47:22,0,0,0
2025-04-06 23:47:23,0,0,0
2025-04-06 23:47:24,0,0,0
2025-04-06 23:47:25,0,0,0
2025-04-06 23:47:26,0,0,0
2025-04-06 23:47:27,0,0,0
2025-04-06 23:47:28,0,0,0
2025-04-06 23:47:29,0,0.0100,0
2025-04-06 23:47:30,0,0.0101,0
2025-04-06 23:47:31,0,0.0101,0
2025-04-06 23:47:32,0,0.0101,0
2025-04-06 23:47:33,0,0.0102,0
2025-04-06 23:47:34,1,0.0635,0.940
2025-04-06 23:47:35,1,0.0637,0.940
2025-04-06 23:47:36,1,0.0639,0.940
2025-04-06 23:47:37,1,0.0641,0.940
2025-04-06 23:47:38,1,0.0643,0.940
2025-04-06 23:47:39,4,0.130,3.54
2025-04-06 23:47:40,4,0.131,3.54
2025-04-06 23:47:41,4,0.131,3.54
2025-04-06 23:47:42,4,0.132,3.53
2025-04-06 23:47:43,4,0.132,3.53
2025-04-06 23:47:44,24,0.197,20.0
2025-04-06 23:47:45,24,0.198,20.0
2025-04-06 23:47:46,24,0.198,20.0
2025-04-06 23:47:47,24,0.199,20.0
2025-04-06 23:47:48,24,0.200,20.0
2025-04-06 23:47:49,52,0.267,41.0
2025-04-06 23:47:50,52,0.268,41.0
2025-04-06 23:47:51,52,0.269,41.0
2025-04-06 23:47:52,52,0.270,40.9
2025-04-06 23:47:53,52,0.271,40.9
2025-04-06 23:47:54,93,0.334,69.7
2025-04-06 23:47:55,93,0.335,69.6
2025-04-06 23:47:56,93,0.336,69.6
2025-04-06 23:47:57,93,0.338,69.5
2025-04-06 23:47:58,93,0.339,69.5
2025-04-06 23:47:59,149,0.401,106
2025-04-06 23:48:00,149,0.402,106
2025-04-06 23:48:01,149,0.404,106
2025-04-06 23:48:02,149,0.405,106
2025-04-06 23:48:03,149,0.406,106
2025-04-06 23:48:04,213,0.464,145
2025-04-06 23:48:05,213,0.466,145
2025-04-06 23:48:06,213,0.468,145
2025-04-06 23:48:07,213,0.469,145
2025-04-06 23:48:08,213,0.471,145
2025-04-06 23:48:09,293,0.531,191
2025-04-06 23:48:10,293,0.533,191
2025-04-06 23:48:11,293,0.535,191
2025-04-06 23:48:12,293,0.537,191
2025-04-06 23:48:13,293,0.538,190
2025-04-06 23:48:14,378,0.598,237
2025-04-06 23:48:15,378,0.600,236
2025-04-06 23:48:16,378,0.602,236
2025-04-06 23:48:17,378,0.604,236
2025-04-06 23:48:18,378,0.606,235
2025-04-06 23:48:19,481,0.668,288
2025-04-06 23:48:20,481,0.671,288
2025-04-06 23:48:21,481,0.673,288
2025-04-06 23:48:22,481,0.675,287
2025-04-06 23:48:23,481,0.677,287
2025-04-06 23:48:24,581,0.738,334
2025-04-06 23:48:25,581,0.741,334
2025-04-06 23:48:26,581,0.743,333
2025-04-06 23:48:27,581,0.746,333
2025-04-06 23:48:28,581,0.748,332
2025-04-06 23:48:29,676,0.805,374
2025-04-06 23:48:30,676,0.808,374
2025-04-06 23:48:31,676,0.811,373
2025-04-06 23:48:32,676,0.813,373
2025-04-06 23:48:33,676,0.816,372
2025-04-06 23:48:34,655,0.872,350
2025-04-06 23:48:35,655,0.875,349
2025-04-06 23:48:36,655,0.878,349
2025-04-06 23:48:37,655,0.881,348
2025-04-06 23:48:38,655,0.884,348
2025-04-06 23:48:39,635,0.939,328
2025-04-06 23:48:40,635,0.942,327
2025-04-06 23:48:41,635,0.945,326
2025-04-06 23:48:42,635,0.948,326
2025-04-06 23:48:43,635,0.952,325
2025-04-06 23:48:44,614,1.01,306
2025-04-06 23:48:45,614,1.01,306
2025-04-06 23:48:46,614,1.01,305
2025-04-06 23:48:47,614,1.02,305
2025-04-06 23:48:48,614,1.02,304
2025-04-06 23:48:49,593,1.07,286
2025-04-06 23:48:50,593,1.08,286
2025-04-06 23:48:51,593,1.08,285
2025-04-06 23:48:52,593,1.08,285
2025-04-06 23:48:53,593,1.09,284
2025-04-06 23:48:54,572,1.14,267
2025-04-06 23:48:55,572,1.15,266
2025-04-06 23:48:56,572,1.15,266
2025-04-06 23:48:57,572,1.15,266
2025-04-06 23:48:58,572,1.16,265
2025-04-06 23:48:59,551,1.21,249
2025-04-06 23:49:00,551,1.21,249
2025-04-06 23:49:01,551,1.22,248
2025-04-06 23:49:02,551,1.22,248
2025-04-06 23:49:03,551,1.23,248
2025-04-06 23:49:04,531,1.28,233
2025-04-06 23:49:05,531,1.28,233
2025-04-06 23:49:06,531,1.28,232
2025-04-06 23:49:07,531,1.29,232
2025-04-06 23:49:08,531,1.29,232
2025-04-06 23:49:09,510,1.35,217
2025-04-06 23:49:10,510,1.35,217
2025-04-06 23:49:11,510,1.36,217
2025-04-06 23:49:12,510,1.36,216
2025-04-06 23:49:13,510,1.36,216
2025-04-06 23:49:14,489,1.41,203
2025-04-06 23:49:15,489,1.42,202
2025-04-06 23:49:16,489,1.42,202
2025-04-06 23:49:17,489,1.43,201
2025-04-06 23:49:18,489,1.43,201
2025-04-06 23:49:19,468,1.48,188
2025-04-06 23:49:20,468,1.49,188
2025-04-06 23:49:21,468,1.49,188
2025-04-06 23:49:22,468,1.50,187
2025-04-06 23:49:23,468,1.50,187
2025-04-06 23:49:24,447,1.55,175
2025-04-06 23:49:25,447,1.56,175
2025-04-06 23:49:26,447,1.56,175
2025-04-06 23:49:27,447,1.57,174
2025-04-06 23:49:28,447,1.57,174
2025-04-06 23:49:29,426,1.62,163
2025-04-06 23:49:30,426,1.63,162
2025-04-06 23:49:31,426,1.63,162
2025-04-06 23:49:32,426,1.64,162
2025-04-06 23:49:33,426,1.64,161
2025-04-06 23:49:34,405,1.69,151
2025-04-06 23:49:35,405,1.69,150
2025-04-06 23:49:36,405,1.70,150
2025-04-06 23:49:37,405,1.70,150
2025-04-06 23:49:38,405,1.71,149
2025-04-06 23:49:39,384,1.76,139
2025-04-06 23:49:40,384,1.76,139
2025-04-06 23:49:41,384,1.77,139
2025-04-06 23:49:42,384,1.78,138
2025-04-06 23:49:43,384,1.78,138
2025-04-06 23:49:44,363,1.83,128
2025-04-06 23:49:45,363,1.83,128
2025-04-06 23:49:46,363,1.84,128
2025-04-06 23:49:47,363,1.85,128
2025-04-06 23:49:48,363,1.85,127
2025-04-06 23:49:49,342,1.89,118
2025-04-06 23:49:50,342,1.90,118
2025-04-06 23:49:51,342,1.91,118
2025-04-06 23:49:52,342,1.91,117
2025-04-06 23:49:53,342,1.92,117
2025-04-06 23:49:54,342,1.96,115
2025-04-06 23:49:55,342,1.97,115
2025-04-06 23:49:56,342,1.98,115
2025-04-06 23:49:57,342,1.98,115
2025-04-06 23:49:58,342,1.99,114
2025-04-06 23:49:59,321,2.03,106
2025-04-06 23:50:00,321,2.04,106
2025-04-06 23:50:01,321,2.05,105
2025-04-06 23:50:02,321,2.05,105
2025-04-06 23:50:03,321,2.06,105
2025-04-06 23:50:04,300,2.10,96.8
2025-04-06 23:50:05,300,2.11,96.6
2025-04-06 23:50:06,300,2.11,96.4
2025-04-06 23:50:07,300,2.12,96.2
2025-04-06 23:50:08,300,2.13,95.9
2025-04-06 23:50:09,279,2.17,88.1
2025-04-06 23:50:10,279,2.17,87.9
2025-04-06 23:50:11,279,2.18,87.7
2025-04-06 23:50:12,279,2.19,87.5
2025-04-06 23:50:13,279,2.19,87.3
2025-04-06 23:50:14,259,2.24,80.1
2025-04-06 23:50:15,259,2.24,79.9
2025-04-06 23:50:16,259,2.25,79.7
2025-04-06 23:50:17,259,2.26,79.5
2025-04-06 23:50:18,259,2.27,79.3
2025-04-06 23:50:19,238,2.30,72.1
2025-04-06 23:50:20,238,2.31,71.9
2025-04-06 23:50:21,238,2.32,71.7
2025-04-06 23:50:22,238,2.33,71.6
2025-04-06 23:50:23,238,2.33,71.4
2025-04-06 23:50:24,217,2.37,64.4
2025-04-06 23:50:25,217,2.38,64.3
2025-04-06 23:50:26,217,2.38,64.1
2025-04-06 23:50:27,217,2.39,64.0
2025-04-06 23:50:28,217,2.40,63.8
2025-04-06 23:50:29,196,2.44,57.0
2025-04-06 23:50:30,196,2.45,56.9
2025-04-06 23:50:31,196,2.46,56.7
2025-04-06 23:50:32,196,2.46,56.6
2025-04-06 23:50:33,196,2.47,56.4
2025-04-06 23:50:34,176,2.50,50.3
2025-04-06 23:50:35,176,2.51,50.2
2025-04-06 23:50:36,176,2.52,50.1
2025-04-06 23:50:37,176,2.52,49.9
2025-04-06 23:50:38,176,2.53,49.8
2025-04-06 23:50:39,156,2.57,43.7
2025-04-06 23:50:40,156,2.58,43.6
2025-04-06 23:50:41,156,2.59,43.5
2025-04-06 23:50:42,156,2.60,43.4
2025-04-06 23:50:43,156,2.60,43.3
2025-04-06 23:50:44,135,2.64,37.1
2025-04-06 23:50:45,135,2.65,37.0
2025-04-06 23:50:46,135,2.66,36.9
2025-04-06 23:50:47,135,2.67,36.8
2025-04-06 23:50:48,135,2.68,36.7
2025-04-06 23:50:49,114,2.70,30.8
2025-04-06 23:50:50,114,2.71,30.7
2025-04-06 23:50:51,114,2.72,30.6
2025-04-06 23:50:52,114,2.73,30.6
2025-04-06 23:50:53,114,2.74,30.5
2025-04-06 23:50:54,95,2.77,25.2
2025-04-06 23:50:55,95,2.78,25.2
2025-04-06 23:50:56,95,2.79,25.1
2025-04-06 23:50:57,95,2.79,25.0
2025-04-06 23:50:58,95,2.80,25.0
2025-04-06 23:50:59,76,2.83,19.9
2025-04-06 23:51:00,76,2.84,19.8
2025-04-06 23:51:01,76,2.85,19.8
2025-04-06 23:51:02,76,2.86,19.7
2025-04-06 23:51:03,76,2.86,19.7
2025-04-06 23:51:04,57,2.89,14.7
2025-04-06 23:51:05,57,2.90,14.6
2025-04-06 23:51:06,57,2.91,14.6
2025-04-06 23:51:07,57,2.92,14.5
2025-04-06 23:51:08,57,2.93,14.5
2025-04-06 23:51:09,39,2.94,9.89
2025-04-06 23:51:10,39,2.95,9.86
2025-04-06 23:51:11,39,2.96,9.84
2025-04-06 23:51:12,39,2.97,9.82
2025-04-06 23:51:13,39,2.98,9.79
2025-04-06 23:51:14,20,3.01,4.99
2025-04-06 23:51:15,20,3.02,4.97
2025-04-06 23:51:16,20,3.03,4.96
2025-04-06 23:51:17,20,3.04,4.95
2025-04-06 23:51:18,20,3.05,4.94
2025-04-06 23:51:19,0,3.03,0
2025-04-06 23:51:20,0,3.04,0
2025-04-06 23:51:21,0,3.05,0
2025-04-06 23:51:22,0,3.06,0
2025-04-06 23:51:23,0,3.07,0
2025-04-06 23:51:24,0,3.03,0
2025-04-06 23:51:25,0,3.04,0
2025-04-06 23:51:26,0,3.05,0
2025-04-06 23:51:27,0,3.06,0
2025-04-06 23:51:28,0,3.07,0
2025-04-06 23:51:29,0,3.03,0
2025-04-06 23:51:30,0,3.04,0
2025-04-06 23:51:31,0,3.05,0
2025-04-06 23:51:32,0,3.06,0
2025-04-06 23:51:33,0,3.07,0
2025-04-06 23:51:34,0,3.03,0
2025-04-06 23:51:35,0,3.04,0
2025-04-06 23:51:36,0,3.05,0
2025-04-06 23:51:37,0,3.06,0
2025-04-06 23:51:38,0,3.07,0
2025-04-06 23:51:39,0,3.03,0
2025-04-06 23:51:40,0,3.04,0
2025-04-06 23:51:41,0,3.05,0
2025-04-06 23:51:42,0,3.06,0
2025-04-06 23:51:43,0,3.07,0
2025-04-06 23:51:44,0,3.03,0
2025-04-06 23:51:45,0,3.04,0
2025-04-06 23:51:46,0,3.05,0
2025-04-06 23:51:47,0,3.06,0
2025-04-06 23:51:48,0,3.07,0
2025-04-06 23:51:49,0,3.03,0
2025-04-06 23:51:50,0,3.04,0
2025-04-06 23:51:51,0,3.05,0
2025-04-06 23:51:52,0,3.06,0
2025-04-06 23:51:53,0,3.07,0
2025-04-06 23:51:54,0,3.03,0
2025-04-06 23:51:55,0,3.04,0
2025-04-06 23:51:56,0,3.05,0
2025-04-06 23:51:57,0,3.06,0
2025-04-06 23:51:58,0,3.07,0
2025-04-06 23:51:59,0,3.03,0
2025-04-06 23:52:00,0,3.04,0
