"Time","rabbit@rabbitmq-77d46f474f-ng7cg"
2025-04-07 00:09:00,4.4408 GiB
2025-04-07 00:09:01,4.4408 GiB
2025-04-07 00:09:02,4.4408 GiB
2025-04-07 00:09:03,4.4408 GiB
2025-04-07 00:09:04,4.4407 GiB
2025-04-07 00:09:05,4.4407 GiB
2025-04-07 00:09:06,4.4407 GiB
2025-04-07 00:09:07,4.4407 GiB
2025-04-07 00:09:08,4.4407 GiB
2025-04-07 00:09:09,4.4405 GiB
2025-04-07 00:09:10,4.4405 GiB
2025-04-07 00:09:11,4.4405 GiB
2025-04-07 00:09:12,4.4405 GiB
2025-04-07 00:09:13,4.4405 GiB
2025-04-07 00:09:14,4.4405 GiB
2025-04-07 00:09:15,4.4405 GiB
2025-04-07 00:09:16,4.4405 GiB
2025-04-07 00:09:17,4.4405 GiB
2025-04-07 00:09:18,4.4405 GiB
2025-04-07 00:09:19,4.4406 GiB
2025-04-07 00:09:20,4.4406 GiB
2025-04-07 00:09:21,4.4406 GiB
2025-04-07 00:09:22,4.4406 GiB
2025-04-07 00:09:23,4.4406 GiB
2025-04-07 00:09:24,4.4385 GiB
2025-04-07 00:09:25,4.4385 GiB
2025-04-07 00:09:26,4.4385 GiB
2025-04-07 00:09:27,4.4385 GiB
2025-04-07 00:09:28,4.4385 GiB
2025-04-07 00:09:29,4.4368 GiB
2025-04-07 00:09:30,4.4368 GiB
2025-04-07 00:09:31,4.4368 GiB
2025-04-07 00:09:32,4.4368 GiB
2025-04-07 00:09:33,4.4368 GiB
2025-04-07 00:09:34,4.4363 GiB
2025-04-07 00:09:35,4.4363 GiB
2025-04-07 00:09:36,4.4363 GiB
2025-04-07 00:09:37,4.4363 GiB
2025-04-07 00:09:38,4.4363 GiB
2025-04-07 00:09:39,4.4316 GiB
2025-04-07 00:09:40,4.4316 GiB
2025-04-07 00:09:41,4.4316 GiB
2025-04-07 00:09:42,4.4316 GiB
2025-04-07 00:09:43,4.4316 GiB
2025-04-07 00:09:44,4.4306 GiB
2025-04-07 00:09:45,4.4306 GiB
2025-04-07 00:09:46,4.4306 GiB
2025-04-07 00:09:47,4.4306 GiB
2025-04-07 00:09:48,4.4306 GiB
2025-04-07 00:09:49,4.4322 GiB
2025-04-07 00:09:50,4.4322 GiB
2025-04-07 00:09:51,4.4322 GiB
2025-04-07 00:09:52,4.4322 GiB
2025-04-07 00:09:53,4.4322 GiB
2025-04-07 00:09:54,4.4184 GiB
2025-04-07 00:09:55,4.4184 GiB
2025-04-07 00:09:56,4.4184 GiB
2025-04-07 00:09:57,4.4184 GiB
2025-04-07 00:09:58,4.4184 GiB
2025-04-07 00:09:59,4.4164 GiB
2025-04-07 00:10:00,4.4164 GiB
2025-04-07 00:10:01,4.4164 GiB
2025-04-07 00:10:02,4.4164 GiB
2025-04-07 00:10:03,4.4164 GiB
2025-04-07 00:10:04,4.4168 GiB
