"Time","rabbit@rabbitmq-77d46f474f-6pck8"
2025-04-07 20:13:00,932.4045 GiB
2025-04-07 20:13:01,932.4045 GiB
2025-04-07 20:13:02,932.4045 GiB
2025-04-07 20:13:03,932.4045 GiB
2025-04-07 20:13:04,932.4045 GiB
2025-04-07 20:13:05,932.4045 GiB
2025-04-07 20:13:06,932.4045 GiB
2025-04-07 20:13:07,932.4045 GiB
2025-04-07 20:13:08,932.4045 GiB
2025-04-07 20:13:09,932.4045 GiB
2025-04-07 20:13:10,932.4045 GiB
2025-04-07 20:13:11,932.4045 GiB
2025-04-07 20:13:12,932.4045 GiB
2025-04-07 20:13:13,932.4045 GiB
2025-04-07 20:13:14,932.4045 GiB
2025-04-07 20:13:15,932.4045 GiB
2025-04-07 20:13:16,932.4045 GiB
2025-04-07 20:13:17,932.4045 GiB
2025-04-07 20:13:18,932.4045 GiB
2025-04-07 20:13:19,932.4045 GiB
2025-04-07 20:13:20,932.4045 GiB
2025-04-07 20:13:21,932.4045 GiB
2025-04-07 20:13:22,932.4045 GiB
2025-04-07 20:13:23,932.4045 GiB
2025-04-07 20:13:24,932.4037 GiB
2025-04-07 20:13:25,932.4037 GiB
2025-04-07 20:13:26,932.4037 GiB
2025-04-07 20:13:27,932.4037 GiB
2025-04-07 20:13:28,932.4037 GiB
2025-04-07 20:13:29,932.4037 GiB
2025-04-07 20:13:30,932.4037 GiB
2025-04-07 20:13:31,932.4037 GiB
2025-04-07 20:13:32,932.4037 GiB
2025-04-07 20:13:33,932.4037 GiB
2025-04-07 20:13:34,932.4004 GiB
2025-04-07 20:13:35,932.4004 GiB
2025-04-07 20:13:36,932.4004 GiB
2025-04-07 20:13:37,932.4004 GiB
2025-04-07 20:13:38,932.4004 GiB
2025-04-07 20:13:39,932.4004 GiB
2025-04-07 20:13:40,932.4004 GiB
2025-04-07 20:13:41,932.4004 GiB
2025-04-07 20:13:42,932.4004 GiB
2025-04-07 20:13:43,932.4004 GiB
2025-04-07 20:13:44,932.3939 GiB
2025-04-07 20:13:45,932.3939 GiB
2025-04-07 20:13:46,932.3939 GiB
2025-04-07 20:13:47,932.3939 GiB
2025-04-07 20:13:48,932.3939 GiB
2025-04-07 20:13:49,932.3939 GiB
2025-04-07 20:13:50,932.3939 GiB
2025-04-07 20:13:51,932.3939 GiB
2025-04-07 20:13:52,932.3939 GiB
2025-04-07 20:13:53,932.3939 GiB
2025-04-07 20:13:54,932.3840 GiB
2025-04-07 20:13:55,932.3840 GiB
2025-04-07 20:13:56,932.3840 GiB
2025-04-07 20:13:57,932.3840 GiB
2025-04-07 20:13:58,932.3840 GiB
2025-04-07 20:13:59,932.3840 GiB
2025-04-07 20:14:00,932.3840 GiB
2025-04-07 20:14:01,932.3840 GiB
2025-04-07 20:14:02,932.3840 GiB
2025-04-07 20:14:03,932.3840 GiB
2025-04-07 20:14:04,932.3715 GiB
2025-04-07 20:14:05,932.3715 GiB
2025-04-07 20:14:06,932.3715 GiB
2025-04-07 20:14:07,932.3715 GiB
2025-04-07 20:14:08,932.3715 GiB
2025-04-07 20:14:09,932.3715 GiB
2025-04-07 20:14:10,932.3715 GiB
2025-04-07 20:14:11,932.3715 GiB
2025-04-07 20:14:12,932.3715 GiB
2025-04-07 20:14:13,932.3715 GiB
2025-04-07 20:14:14,932.3560 GiB
2025-04-07 20:14:15,932.3560 GiB
2025-04-07 20:14:16,932.3560 GiB
2025-04-07 20:14:17,932.3560 GiB
2025-04-07 20:14:18,932.3560 GiB
2025-04-07 20:14:19,932.3560 GiB
2025-04-07 20:14:20,932.3560 GiB
2025-04-07 20:14:21,932.3560 GiB
2025-04-07 20:14:22,932.3560 GiB
2025-04-07 20:14:23,932.3560 GiB
2025-04-07 20:14:24,932.3476 GiB
2025-04-07 20:14:25,932.3476 GiB
2025-04-07 20:14:26,932.3476 GiB
2025-04-07 20:14:27,932.3476 GiB
2025-04-07 20:14:28,932.3476 GiB
2025-04-07 20:14:29,932.3476 GiB
2025-04-07 20:14:30,932.3476 GiB
2025-04-07 20:14:31,932.3476 GiB
2025-04-07 20:14:32,932.3476 GiB
2025-04-07 20:14:33,932.3476 GiB
2025-04-07 20:14:34,932.3632 GiB
2025-04-07 20:14:35,932.3632 GiB
2025-04-07 20:14:36,932.3632 GiB
2025-04-07 20:14:37,932.3632 GiB
2025-04-07 20:14:38,932.3632 GiB
2025-04-07 20:14:39,932.3632 GiB
