"Time","rabbit@rabbitmq-77d46f474f-6pck8"
2025-04-07 20:13:00,4.4664 GiB
2025-04-07 20:13:01,4.4664 GiB
2025-04-07 20:13:02,4.4664 GiB
2025-04-07 20:13:03,4.4664 GiB
2025-04-07 20:13:04,4.4625 GiB
2025-04-07 20:13:05,4.4625 GiB
2025-04-07 20:13:06,4.4625 GiB
2025-04-07 20:13:07,4.4625 GiB
2025-04-07 20:13:08,4.4625 GiB
2025-04-07 20:13:09,4.4620 GiB
2025-04-07 20:13:10,4.4620 GiB
2025-04-07 20:13:11,4.4620 GiB
2025-04-07 20:13:12,4.4620 GiB
2025-04-07 20:13:13,4.4620 GiB
2025-04-07 20:13:14,4.4642 GiB
2025-04-07 20:13:15,4.4642 GiB
2025-04-07 20:13:16,4.4642 GiB
2025-04-07 20:13:17,4.4642 GiB
2025-04-07 20:13:18,4.4642 GiB
2025-04-07 20:13:19,4.4656 GiB
2025-04-07 20:13:20,4.4656 GiB
2025-04-07 20:13:21,4.4656 GiB
2025-04-07 20:13:22,4.4656 GiB
2025-04-07 20:13:23,4.4656 GiB
2025-04-07 20:13:24,4.4641 GiB
2025-04-07 20:13:25,4.4641 GiB
2025-04-07 20:13:26,4.4641 GiB
2025-04-07 20:13:27,4.4641 GiB
2025-04-07 20:13:28,4.4641 GiB
2025-04-07 20:13:29,4.4611 GiB
2025-04-07 20:13:30,4.4611 GiB
2025-04-07 20:13:31,4.4611 GiB
2025-04-07 20:13:32,4.4611 GiB
2025-04-07 20:13:33,4.4611 GiB
2025-04-07 20:13:34,4.4560 GiB
2025-04-07 20:13:35,4.4560 GiB
2025-04-07 20:13:36,4.4560 GiB
2025-04-07 20:13:37,4.4560 GiB
2025-04-07 20:13:38,4.4560 GiB
2025-04-07 20:13:39,4.4500 GiB
2025-04-07 20:13:40,4.4500 GiB
2025-04-07 20:13:41,4.4500 GiB
2025-04-07 20:13:42,4.4500 GiB
2025-04-07 20:13:43,4.4500 GiB
2025-04-07 20:13:44,4.4458 GiB
2025-04-07 20:13:45,4.4458 GiB
2025-04-07 20:13:46,4.4458 GiB
2025-04-07 20:13:47,4.4458 GiB
2025-04-07 20:13:48,4.4458 GiB
2025-04-07 20:13:49,4.4391 GiB
2025-04-07 20:13:50,4.4391 GiB
2025-04-07 20:13:51,4.4391 GiB
2025-04-07 20:13:52,4.4391 GiB
2025-04-07 20:13:53,4.4391 GiB
2025-04-07 20:13:54,4.4365 GiB
2025-04-07 20:13:55,4.4365 GiB
2025-04-07 20:13:56,4.4365 GiB
2025-04-07 20:13:57,4.4365 GiB
2025-04-07 20:13:58,4.4365 GiB
2025-04-07 20:13:59,4.4406 GiB
2025-04-07 20:14:00,4.4406 GiB
2025-04-07 20:14:01,4.4406 GiB
2025-04-07 20:14:02,4.4406 GiB
2025-04-07 20:14:03,4.4406 GiB
2025-04-07 20:14:04,4.4339 GiB
2025-04-07 20:14:05,4.4339 GiB
2025-04-07 20:14:06,4.4339 GiB
2025-04-07 20:14:07,4.4339 GiB
2025-04-07 20:14:08,4.4339 GiB
2025-04-07 20:14:09,4.4371 GiB
2025-04-07 20:14:10,4.4371 GiB
2025-04-07 20:14:11,4.4371 GiB
2025-04-07 20:14:12,4.4371 GiB
2025-04-07 20:14:13,4.4371 GiB
2025-04-07 20:14:14,4.4338 GiB
2025-04-07 20:14:15,4.4338 GiB
2025-04-07 20:14:16,4.4338 GiB
2025-04-07 20:14:17,4.4338 GiB
2025-04-07 20:14:18,4.4338 GiB
2025-04-07 20:14:19,4.4348 GiB
2025-04-07 20:14:20,4.4348 GiB
2025-04-07 20:14:21,4.4348 GiB
2025-04-07 20:14:22,4.4348 GiB
2025-04-07 20:14:23,4.4348 GiB
2025-04-07 20:14:24,4.4397 GiB
2025-04-07 20:14:25,4.4397 GiB
2025-04-07 20:14:26,4.4397 GiB
2025-04-07 20:14:27,4.4397 GiB
2025-04-07 20:14:28,4.4397 GiB
2025-04-07 20:14:29,4.4216 GiB
2025-04-07 20:14:30,4.4216 GiB
2025-04-07 20:14:31,4.4216 GiB
2025-04-07 20:14:32,4.4216 GiB
2025-04-07 20:14:33,4.4216 GiB
2025-04-07 20:14:34,4.4288 GiB
2025-04-07 20:14:35,4.4288 GiB
2025-04-07 20:14:36,4.4288 GiB
2025-04-07 20:14:37,4.4288 GiB
2025-04-07 20:14:38,4.4288 GiB
2025-04-07 20:14:39,4.4278 GiB
2025-04-07 20:14:40,4.4278 GiB
2025-04-07 20:14:41,4.4278 GiB
2025-04-07 20:14:42,4.4278 GiB
2025-04-07 20:14:43,4.4278 GiB
2025-04-07 20:14:44,4.4261 GiB
2025-04-07 20:14:45,4.4261 GiB
2025-04-07 20:14:46,4.4261 GiB
2025-04-07 20:14:47,4.4261 GiB
2025-04-07 20:14:48,4.4261 GiB
2025-04-07 20:14:49,4.4276 GiB
2025-04-07 20:14:50,4.4276 GiB
2025-04-07 20:14:51,4.4276 GiB
2025-04-07 20:14:52,4.4276 GiB
2025-04-07 20:14:53,4.4276 GiB
2025-04-07 20:14:54,4.4323 GiB
2025-04-07 20:14:55,4.4323 GiB
2025-04-07 20:14:56,4.4323 GiB
2025-04-07 20:14:57,4.4323 GiB
2025-04-07 20:14:58,4.4323 GiB
2025-04-07 20:14:59,4.4372 GiB
2025-04-07 20:15:00,4.4372 GiB
2025-04-07 20:15:01,4.4372 GiB
2025-04-07 20:15:02,4.4372 GiB
2025-04-07 20:15:03,4.4372 GiB
2025-04-07 20:15:04,4.4454 GiB
2025-04-07 20:15:05,4.4454 GiB
2025-04-07 20:15:06,4.4454 GiB
2025-04-07 20:15:07,4.4454 GiB
2025-04-07 20:15:08,4.4454 GiB
2025-04-07 20:15:09,4.4462 GiB
2025-04-07 20:15:10,4.4462 GiB
2025-04-07 20:15:11,4.4462 GiB
2025-04-07 20:15:12,4.4462 GiB
2025-04-07 20:15:13,4.4462 GiB
2025-04-07 20:15:14,4.4449 GiB
2025-04-07 20:15:15,4.4449 GiB
2025-04-07 20:15:16,4.4449 GiB
2025-04-07 20:15:17,4.4449 GiB
2025-04-07 20:15:18,4.4449 GiB
2025-04-07 20:15:19,4.4460 GiB
2025-04-07 20:15:20,4.4460 GiB
2025-04-07 20:15:21,4.4460 GiB
2025-04-07 20:15:22,4.4460 GiB
2025-04-07 20:15:23,4.4460 GiB
2025-04-07 20:15:24,4.4459 GiB
2025-04-07 20:15:25,4.4459 GiB
2025-04-07 20:15:26,4.4459 GiB
2025-04-07 20:15:27,4.4459 GiB
2025-04-07 20:15:28,4.4459 GiB
2025-04-07 20:15:29,4.4457 GiB
2025-04-07 20:15:30,4.4457 GiB
2025-04-07 20:15:31,4.4457 GiB
2025-04-07 20:15:32,4.4457 GiB
2025-04-07 20:15:33,4.4457 GiB
2025-04-07 20:15:34,4.4354 GiB
2025-04-07 20:15:35,4.4354 GiB
2025-04-07 20:15:36,4.4354 GiB
2025-04-07 20:15:37,4.4354 GiB
2025-04-07 20:15:38,4.4354 GiB
2025-04-07 20:15:39,4.4449 GiB
2025-04-07 20:15:40,4.4449 GiB
2025-04-07 20:15:41,4.4449 GiB
2025-04-07 20:15:42,4.4449 GiB
2025-04-07 20:15:43,4.4449 GiB
2025-04-07 20:15:44,4.4457 GiB
2025-04-07 20:15:45,4.4457 GiB
2025-04-07 20:15:46,4.4457 GiB
2025-04-07 20:15:47,4.4457 GiB
2025-04-07 20:15:48,4.4457 GiB
2025-04-07 20:15:49,4.4456 GiB
2025-04-07 20:15:50,4.4456 GiB
2025-04-07 20:15:51,4.4456 GiB
2025-04-07 20:15:52,4.4456 GiB
2025-04-07 20:15:53,4.4456 GiB
2025-04-07 20:15:54,4.4460 GiB
2025-04-07 20:15:55,4.4460 GiB
2025-04-07 20:15:56,4.4460 GiB
2025-04-07 20:15:57,4.4460 GiB
2025-04-07 20:15:58,4.4460 GiB
2025-04-07 20:15:59,4.4459 GiB
2025-04-07 20:16:00,4.4459 GiB
2025-04-07 20:16:01,4.4459 GiB
2025-04-07 20:16:02,4.4459 GiB
2025-04-07 20:16:03,4.4459 GiB
2025-04-07 20:16:04,4.4459 GiB
2025-04-07 20:16:05,4.4459 GiB
2025-04-07 20:16:06,4.4459 GiB
2025-04-07 20:16:07,4.4459 GiB
2025-04-07 20:16:08,4.4459 GiB
2025-04-07 20:16:09,4.4449 GiB
2025-04-07 20:16:10,4.4449 GiB
2025-04-07 20:16:11,4.4449 GiB
2025-04-07 20:16:12,4.4449 GiB
2025-04-07 20:16:13,4.4449 GiB
2025-04-07 20:16:14,4.4444 GiB
2025-04-07 20:16:15,4.4444 GiB
2025-04-07 20:16:16,4.4444 GiB
2025-04-07 20:16:17,4.4444 GiB
2025-04-07 20:16:18,4.4444 GiB
2025-04-07 20:16:19,4.4441 GiB
2025-04-07 20:16:20,4.4441 GiB
2025-04-07 20:16:21,4.4441 GiB
2025-04-07 20:16:22,4.4441 GiB
2025-04-07 20:16:23,4.4441 GiB
2025-04-07 20:16:24,4.4451 GiB
2025-04-07 20:16:25,4.4451 GiB
2025-04-07 20:16:26,4.4451 GiB
2025-04-07 20:16:27,4.4451 GiB
2025-04-07 20:16:28,4.4451 GiB
2025-04-07 20:16:29,4.4444 GiB
2025-04-07 20:16:30,4.4444 GiB
2025-04-07 20:16:31,4.4444 GiB
2025-04-07 20:16:32,4.4444 GiB
2025-04-07 20:16:33,4.4444 GiB
2025-04-07 20:16:34,4.4281 GiB
2025-04-07 20:16:35,4.4281 GiB
2025-04-07 20:16:36,4.4281 GiB
2025-04-07 20:16:37,4.4281 GiB
2025-04-07 20:16:38,4.4281 GiB
2025-04-07 20:16:39,4.4430 GiB
2025-04-07 20:16:40,4.4430 GiB
2025-04-07 20:16:41,4.4430 GiB
2025-04-07 20:16:42,4.4430 GiB
2025-04-07 20:16:43,4.4430 GiB
2025-04-07 20:16:44,4.4425 GiB
2025-04-07 20:16:45,4.4425 GiB
2025-04-07 20:16:46,4.4425 GiB
2025-04-07 20:16:47,4.4425 GiB
2025-04-07 20:16:48,4.4425 GiB
2025-04-07 20:16:49,4.4417 GiB
2025-04-07 20:16:50,4.4417 GiB
2025-04-07 20:16:51,4.4417 GiB
2025-04-07 20:16:52,4.4417 GiB
2025-04-07 20:16:53,4.4417 GiB
2025-04-07 20:16:54,4.4400 GiB
2025-04-07 20:16:55,4.4400 GiB
2025-04-07 20:16:56,4.4400 GiB
2025-04-07 20:16:57,4.4400 GiB
2025-04-07 20:16:58,4.4400 GiB
2025-04-07 20:16:59,4.4427 GiB
2025-04-07 20:17:00,4.4427 GiB
2025-04-07 20:17:01,4.4427 GiB
2025-04-07 20:17:02,4.4427 GiB
2025-04-07 20:17:03,4.4427 GiB
2025-04-07 20:17:04,4.4434 GiB
2025-04-07 20:17:05,4.4434 GiB
2025-04-07 20:17:06,4.4434 GiB
2025-04-07 20:17:07,4.4434 GiB
2025-04-07 20:17:08,4.4434 GiB
2025-04-07 20:17:09,4.4425 GiB
2025-04-07 20:17:10,4.4425 GiB
2025-04-07 20:17:11,4.4425 GiB
2025-04-07 20:17:12,4.4425 GiB
