"Time","C {instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-04-07 20:13:00,0.0122
2025-04-07 20:13:01,0.0122
2025-04-07 20:13:02,0.0122
2025-04-07 20:13:03,0.0122
2025-04-07 20:13:04,0.0122
2025-04-07 20:13:05,0.0122
2025-04-07 20:13:06,0.0122
2025-04-07 20:13:07,0.0122
2025-04-07 20:13:08,0.0122
2025-04-07 20:13:09,0.0122
2025-04-07 20:13:10,0.0122
2025-04-07 20:13:11,0.0122
2025-04-07 20:13:12,0.0122
2025-04-07 20:13:13,0.0122
2025-04-07 20:13:14,0.0122
2025-04-07 20:13:15,0.0122
2025-04-07 20:13:16,0.0122
2025-04-07 20:13:17,0.0122
2025-04-07 20:13:18,0.0122
2025-04-07 20:13:19,0.686
2025-04-07 20:13:20,0.686
2025-04-07 20:13:21,0.686
2025-04-07 20:13:22,0.686
2025-04-07 20:13:23,0.686
2025-04-07 20:13:24,5.58
2025-04-07 20:13:25,5.58
2025-04-07 20:13:26,5.58
2025-04-07 20:13:27,5.58
2025-04-07 20:13:28,5.58
2025-04-07 20:13:29,15.3
2025-04-07 20:13:30,15.3
2025-04-07 20:13:31,15.3
2025-04-07 20:13:32,15.3
2025-04-07 20:13:33,15.3
2025-04-07 20:13:34,26.7
2025-04-07 20:13:35,26.8
2025-04-07 20:13:36,26.8
2025-04-07 20:13:37,26.9
2025-04-07 20:13:38,26.9
2025-04-07 20:13:39,40.1
2025-04-07 20:13:40,40.2
2025-04-07 20:13:41,40.3
2025-04-07 20:13:42,40.4
2025-04-07 20:13:43,40.4
2025-04-07 20:13:44,58.8
2025-04-07 20:13:45,58.9
2025-04-07 20:13:46,59.0
2025-04-07 20:13:47,59.1
2025-04-07 20:13:48,59.2
2025-04-07 20:13:49,78.0
2025-04-07 20:13:50,78.2
2025-04-07 20:13:51,78.4
2025-04-07 20:13:52,78.6
2025-04-07 20:13:53,78.7
2025-04-07 20:13:54,99.9
2025-04-07 20:13:55,100
2025-04-07 20:13:56,100
2025-04-07 20:13:57,101
2025-04-07 20:13:58,101
2025-04-07 20:13:59,126
2025-04-07 20:14:00,126
2025-04-07 20:14:01,126
2025-04-07 20:14:02,127
2025-04-07 20:14:03,127
2025-04-07 20:14:04,153
2025-04-07 20:14:05,154
2025-04-07 20:14:06,154
2025-04-07 20:14:07,155
2025-04-07 20:14:08,155
2025-04-07 20:14:09,185
2025-04-07 20:14:10,186
2025-04-07 20:14:11,186
2025-04-07 20:14:12,187
2025-04-07 20:14:13,187
2025-04-07 20:14:14,217
2025-04-07 20:14:15,217
2025-04-07 20:14:16,218
2025-04-07 20:14:17,218
2025-04-07 20:14:18,219
2025-04-07 20:14:19,232
2025-04-07 20:14:20,233
2025-04-07 20:14:21,233
2025-04-07 20:14:22,234
2025-04-07 20:14:23,234
2025-04-07 20:14:24,236
2025-04-07 20:14:25,237
2025-04-07 20:14:26,238
2025-04-07 20:14:27,238
2025-04-07 20:14:28,239
2025-04-07 20:14:29,241
2025-04-07 20:14:30,242
2025-04-07 20:14:31,242
2025-04-07 20:14:32,243
2025-04-07 20:14:33,243
2025-04-07 20:14:34,245
2025-04-07 20:14:35,246
2025-04-07 20:14:36,246
2025-04-07 20:14:37,247
2025-04-07 20:14:38,248
2025-04-07 20:14:39,250
2025-04-07 20:14:40,250
2025-04-07 20:14:41,251
2025-04-07 20:14:42,252
2025-04-07 20:14:43,252
2025-04-07 20:14:44,254
2025-04-07 20:14:45,255
2025-04-07 20:14:46,256
2025-04-07 20:14:47,256
2025-04-07 20:14:48,257
2025-04-07 20:14:49,259
2025-04-07 20:14:50,260
2025-04-07 20:14:51,260
2025-04-07 20:14:52,261
2025-04-07 20:14:53,262
2025-04-07 20:14:54,264
2025-04-07 20:14:55,264
2025-04-07 20:14:56,265
2025-04-07 20:14:57,266
2025-04-07 20:14:58,266
2025-04-07 20:14:59,268
2025-04-07 20:15:00,269
2025-04-07 20:15:01,269
2025-04-07 20:15:02,270
2025-04-07 20:15:03,270
2025-04-07 20:15:04,272
2025-04-07 20:15:05,273
2025-04-07 20:15:06,274
2025-04-07 20:15:07,274
2025-04-07 20:15:08,275
2025-04-07 20:15:09,277
2025-04-07 20:15:10,277
2025-04-07 20:15:11,278
2025-04-07 20:15:12,279
2025-04-07 20:15:13,279
2025-04-07 20:15:14,281
2025-04-07 20:15:15,282
2025-04-07 20:15:16,282
2025-04-07 20:15:17,283
2025-04-07 20:15:18,284
2025-04-07 20:15:19,286
2025-04-07 20:15:20,287
2025-04-07 20:15:21,287
2025-04-07 20:15:22,288
2025-04-07 20:15:23,288
2025-04-07 20:15:24,290
2025-04-07 20:15:25,291
2025-04-07 20:15:26,292
2025-04-07 20:15:27,292
2025-04-07 20:15:28,293
2025-04-07 20:15:29,295
2025-04-07 20:15:30,295
2025-04-07 20:15:31,296
2025-04-07 20:15:32,297
2025-04-07 20:15:33,297
2025-04-07 20:15:34,299
2025-04-07 20:15:35,300
2025-04-07 20:15:36,301
2025-04-07 20:15:37,301
2025-04-07 20:15:38,302
2025-04-07 20:15:39,304
2025-04-07 20:15:40,304
2025-04-07 20:15:41,305
2025-04-07 20:15:42,306
2025-04-07 20:15:43,306
2025-04-07 20:15:44,309
2025-04-07 20:15:45,309
2025-04-07 20:15:46,310
2025-04-07 20:15:47,311
2025-04-07 20:15:48,311
2025-04-07 20:15:49,313
2025-04-07 20:15:50,314
2025-04-07 20:15:51,314
2025-04-07 20:15:52,315
2025-04-07 20:15:53,316
2025-04-07 20:15:54,315
2025-04-07 20:15:55,316
2025-04-07 20:15:56,317
2025-04-07 20:15:57,318
2025-04-07 20:15:58,320
2025-04-07 20:15:59,320
2025-04-07 20:16:00,321
2025-04-07 20:16:01,322
2025-04-07 20:16:02,323
2025-04-07 20:16:03,324
2025-04-07 20:16:04,324
2025-04-07 20:16:05,325
2025-04-07 20:16:06,326
2025-04-07 20:16:07,327
2025-04-07 20:16:08,328
2025-04-07 20:16:09,328
2025-04-07 20:16:10,330
2025-04-07 20:16:11,331
2025-04-07 20:16:12,332
2025-04-07 20:16:13,333
2025-04-07 20:16:14,332
2025-04-07 20:16:15,333
2025-04-07 20:16:16,334
2025-04-07 20:16:17,336
2025-04-07 20:16:18,337
