"Time","{instance=""rabbitmq:15692"", job=""rabbitmq""}","{instance=""rabbitmq:15692"", job=""rabbitmq""}","C {instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-04-07 20:13:00,0.000,0.000,0.000
2025-04-07 20:13:01,0.000,0.000,0.000
2025-04-07 20:13:02,0.000,0.000,0.000
2025-04-07 20:13:03,0.000,0.000,0.000
2025-04-07 20:13:04,0.000,0.000,0.000
2025-04-07 20:13:05,0.000,0.000,0.000
2025-04-07 20:13:06,0.000,0.000,0.000
2025-04-07 20:13:07,0.000,0.000,0.000
2025-04-07 20:13:08,0.000,0.000,0.000
2025-04-07 20:13:09,0.000,0.000,0.000
2025-04-07 20:13:10,0.000,0.000,0.000
2025-04-07 20:13:11,0.000,0.000,0.000
2025-04-07 20:13:12,0.000,0.000,0.000
2025-04-07 20:13:13,0.000,0.000,0.000
2025-04-07 20:13:14,0.000,0.000,0.000
2025-04-07 20:13:15,0.000,0.000,0.000
2025-04-07 20:13:16,0.000,0.000,0.000
2025-04-07 20:13:17,0.000,0.000,0.000
2025-04-07 20:13:18,0.000,0.000,0.000
2025-04-07 20:13:19,0.014,0.014,0.931
2025-04-07 20:13:20,0.014,0.014,0.931
2025-04-07 20:13:21,0.014,0.014,0.931
2025-04-07 20:13:22,0.014,0.014,0.931
2025-04-07 20:13:23,0.014,0.014,0.931
2025-04-07 20:13:24,0.078,0.068,1.133
2025-04-07 20:13:25,0.078,0.068,1.133
2025-04-07 20:13:26,0.078,0.068,1.133
2025-04-07 20:13:27,0.078,0.068,1.133
2025-04-07 20:13:28,0.078,0.068,1.133
2025-04-07 20:13:29,0.169,0.136,1.241
2025-04-07 20:13:30,0.169,0.136,1.241
2025-04-07 20:13:31,0.169,0.136,1.241
2025-04-07 20:13:32,0.169,0.136,1.241
2025-04-07 20:13:33,0.169,0.136,1.241
2025-04-07 20:13:34,0.305,0.197,1.544
2025-04-07 20:13:35,0.305,0.197,1.544
2025-04-07 20:13:36,0.305,0.197,1.544
2025-04-07 20:13:37,0.305,0.197,1.544
2025-04-07 20:13:38,0.305,0.197,1.544
2025-04-07 20:13:39,0.471,0.261,1.798
2025-04-07 20:13:40,0.471,0.261,1.798
2025-04-07 20:13:41,0.471,0.261,1.798
2025-04-07 20:13:42,0.471,0.261,1.798
2025-04-07 20:13:43,0.471,0.261,1.798
2025-04-07 20:13:44,0.712,0.325,2.181
2025-04-07 20:13:45,0.712,0.325,2.181
2025-04-07 20:13:46,0.712,0.325,2.181
2025-04-07 20:13:47,0.712,0.325,2.181
2025-04-07 20:13:48,0.712,0.325,2.181
2025-04-07 20:13:49,0.980,0.376,2.597
2025-04-07 20:13:50,0.980,0.376,2.597
2025-04-07 20:13:51,0.980,0.376,2.597
2025-04-07 20:13:52,0.980,0.376,2.597
2025-04-07 20:13:53,0.980,0.376,2.597
2025-04-07 20:13:54,1.288,0.437,2.939
2025-04-07 20:13:55,1.288,0.437,2.939
2025-04-07 20:13:56,1.288,0.437,2.939
2025-04-07 20:13:57,1.288,0.437,2.939
2025-04-07 20:13:58,1.288,0.437,2.939
2025-04-07 20:13:59,1.624,0.502,3.230
2025-04-07 20:14:00,1.624,0.502,3.230
2025-04-07 20:14:01,1.624,0.502,3.230
2025-04-07 20:14:02,1.624,0.502,3.230
2025-04-07 20:14:03,1.624,0.502,3.230
2025-04-07 20:14:04,2.027,0.566,3.575
2025-04-07 20:14:05,2.027,0.566,3.575
2025-04-07 20:14:06,2.027,0.566,3.575
2025-04-07 20:14:07,2.027,0.566,3.575
2025-04-07 20:14:08,2.027,0.566,3.575
2025-04-07 20:14:09,2.444,0.634,3.850
2025-04-07 20:14:10,2.444,0.634,3.850
2025-04-07 20:14:11,2.444,0.634,3.850
2025-04-07 20:14:12,2.444,0.634,3.850
2025-04-07 20:14:13,2.444,0.634,3.850
2025-04-07 20:14:14,2.857,0.702,4.067
2025-04-07 20:14:15,2.857,0.702,4.067
2025-04-07 20:14:16,2.857,0.702,4.067
2025-04-07 20:14:17,2.857,0.702,4.067
2025-04-07 20:14:18,2.857,0.702,4.067
2025-04-07 20:14:19,3.061,0.769,3.973
2025-04-07 20:14:20,3.061,0.769,3.973
2025-04-07 20:14:21,3.061,0.769,3.973
2025-04-07 20:14:22,3.061,0.769,3.973
2025-04-07 20:14:23,3.061,0.769,3.973
2025-04-07 20:14:24,3.061,0.841,3.637
2025-04-07 20:14:25,3.061,0.841,3.637
2025-04-07 20:14:26,3.061,0.841,3.637
2025-04-07 20:14:27,3.061,0.841,3.637
2025-04-07 20:14:28,3.061,0.841,3.637
2025-04-07 20:14:29,3.061,0.908,3.366
2025-04-07 20:14:30,3.061,0.908,3.366
2025-04-07 20:14:31,3.061,0.908,3.366
2025-04-07 20:14:32,3.061,0.908,3.366
2025-04-07 20:14:33,3.061,0.908,3.366
2025-04-07 20:14:34,3.061,0.973,3.143
2025-04-07 20:14:35,3.061,0.973,3.143
2025-04-07 20:14:36,3.061,0.973,3.143
2025-04-07 20:14:37,3.061,0.973,3.143
2025-04-07 20:14:38,3.061,0.973,3.143
