"Time","rabbit@rabbitmq-77d46f474f-ng7cg"
2025-03-28 23:30:00,4.4483 GiB
2025-03-28 23:30:01,4.4483 GiB
2025-03-28 23:30:02,4.4483 GiB
2025-03-28 23:30:03,4.4483 GiB
2025-03-28 23:30:04,4.4484 GiB
2025-03-28 23:30:05,4.4484 GiB
2025-03-28 23:30:06,4.4484 GiB
2025-03-28 23:30:07,4.4484 GiB
2025-03-28 23:30:08,4.4484 GiB
2025-03-28 23:30:09,4.4475 GiB
2025-03-28 23:30:10,4.4475 GiB
2025-03-28 23:30:11,4.4475 GiB
2025-03-28 23:30:12,4.4475 GiB
2025-03-28 23:30:13,4.4475 GiB
2025-03-28 23:30:14,4.4481 GiB
2025-03-28 23:30:15,4.4481 GiB
2025-03-28 23:30:16,4.4481 GiB
2025-03-28 23:30:17,4.4481 GiB
2025-03-28 23:30:18,4.4481 GiB
2025-03-28 23:30:19,4.4478 GiB
2025-03-28 23:30:20,4.4478 GiB
2025-03-28 23:30:21,4.4478 GiB
2025-03-28 23:30:22,4.4478 GiB
2025-03-28 23:30:23,4.4478 GiB
2025-03-28 23:30:24,4.4477 GiB
2025-03-28 23:30:25,4.4477 GiB
2025-03-28 23:30:26,4.4477 GiB
2025-03-28 23:30:27,4.4477 GiB
2025-03-28 23:30:28,4.4477 GiB
2025-03-28 23:30:29,4.4469 GiB
2025-03-28 23:30:30,4.4469 GiB
2025-03-28 23:30:31,4.4469 GiB
2025-03-28 23:30:32,4.4469 GiB
2025-03-28 23:30:33,4.4469 GiB
2025-03-28 23:30:34,4.4430 GiB
2025-03-28 23:30:35,4.4430 GiB
2025-03-28 23:30:36,4.4430 GiB
2025-03-28 23:30:37,4.4430 GiB
2025-03-28 23:30:38,4.4430 GiB
2025-03-28 23:30:39,4.4390 GiB
2025-03-28 23:30:40,4.4390 GiB
2025-03-28 23:30:41,4.4390 GiB
2025-03-28 23:30:42,4.4390 GiB
2025-03-28 23:30:43,4.4390 GiB
2025-03-28 23:30:44,4.4327 GiB
2025-03-28 23:30:45,4.4327 GiB
2025-03-28 23:30:46,4.4327 GiB
2025-03-28 23:30:47,4.4327 GiB
2025-03-28 23:30:48,4.4327 GiB
2025-03-28 23:30:49,4.4274 GiB
2025-03-28 23:30:50,4.4274 GiB
2025-03-28 23:30:51,4.4274 GiB
2025-03-28 23:30:52,4.4274 GiB
2025-03-28 23:30:53,4.4274 GiB
2025-03-28 23:30:54,4.4232 GiB
2025-03-28 23:30:55,4.4232 GiB
2025-03-28 23:30:56,4.4232 GiB
2025-03-28 23:30:57,4.4232 GiB
2025-03-28 23:30:58,4.4232 GiB
2025-03-28 23:30:59,4.4225 GiB
2025-03-28 23:31:00,4.4225 GiB
2025-03-28 23:31:01,4.4225 GiB
2025-03-28 23:31:02,4.4225 GiB
2025-03-28 23:31:03,4.4225 GiB
2025-03-28 23:31:04,4.4247 GiB
2025-03-28 23:31:05,4.4247 GiB
2025-03-28 23:31:06,4.4247 GiB
2025-03-28 23:31:07,4.4247 GiB
2025-03-28 23:31:08,4.4247 GiB
2025-03-28 23:31:09,4.4259 GiB
2025-03-28 23:31:10,4.4259 GiB
2025-03-28 23:31:11,4.4259 GiB
2025-03-28 23:31:12,4.4259 GiB
2025-03-28 23:31:13,4.4259 GiB
2025-03-28 23:31:14,4.4234 GiB
2025-03-28 23:31:15,4.4234 GiB
2025-03-28 23:31:16,4.4234 GiB
2025-03-28 23:31:17,4.4234 GiB
2025-03-28 23:31:18,4.4234 GiB
2025-03-28 23:31:19,4.4212 GiB
2025-03-28 23:31:20,4.4212 GiB
2025-03-28 23:31:21,4.4212 GiB
2025-03-28 23:31:22,4.4212 GiB
2025-03-28 23:31:23,4.4212 GiB
2025-03-28 23:31:24,4.4324 GiB
2025-03-28 23:31:25,4.4324 GiB
2025-03-28 23:31:26,4.4324 GiB
2025-03-28 23:31:27,4.4324 GiB
2025-03-28 23:31:28,4.4324 GiB
2025-03-28 23:31:29,4.4366 GiB
2025-03-28 23:31:30,4.4366 GiB
2025-03-28 23:31:31,4.4366 GiB
2025-03-28 23:31:32,4.4366 GiB
2025-03-28 23:31:33,4.4366 GiB
2025-03-28 23:31:34,4.4381 GiB
2025-03-28 23:31:35,4.4381 GiB
2025-03-28 23:31:36,4.4381 GiB
2025-03-28 23:31:37,4.4381 GiB
2025-03-28 23:31:38,4.4381 GiB
2025-03-28 23:31:39,4.4408 GiB
2025-03-28 23:31:40,4.4408 GiB
2025-03-28 23:31:41,4.4408 GiB
2025-03-28 23:31:42,4.4408 GiB
2025-03-28 23:31:43,4.4408 GiB
2025-03-28 23:31:44,4.4432 GiB
2025-03-28 23:31:45,4.4432 GiB
2025-03-28 23:31:46,4.4432 GiB
2025-03-28 23:31:47,4.4432 GiB
2025-03-28 23:31:48,4.4432 GiB
2025-03-28 23:31:49,4.4424 GiB
2025-03-28 23:31:50,4.4424 GiB
2025-03-28 23:31:51,4.4424 GiB
2025-03-28 23:31:52,4.4424 GiB
2025-03-28 23:31:53,4.4424 GiB
2025-03-28 23:31:54,4.4423 GiB
2025-03-28 23:31:55,4.4423 GiB
2025-03-28 23:31:56,4.4423 GiB
2025-03-28 23:31:57,4.4423 GiB
2025-03-28 23:31:58,4.4423 GiB
2025-03-28 23:31:59,4.4433 GiB
2025-03-28 23:32:00,4.4433 GiB
2025-03-28 23:32:01,4.4433 GiB
2025-03-28 23:32:02,4.4433 GiB
2025-03-28 23:32:03,4.4433 GiB
2025-03-28 23:32:04,4.4440 GiB
2025-03-28 23:32:05,4.4440 GiB
2025-03-28 23:32:06,4.4440 GiB
2025-03-28 23:32:07,4.4440 GiB
2025-03-28 23:32:08,4.4440 GiB
2025-03-28 23:32:09,4.4433 GiB
2025-03-28 23:32:10,4.4433 GiB
2025-03-28 23:32:11,4.4433 GiB
2025-03-28 23:32:12,4.4433 GiB
2025-03-28 23:32:13,4.4433 GiB
2025-03-28 23:32:14,4.4332 GiB
2025-03-28 23:32:15,4.4332 GiB
2025-03-28 23:32:16,4.4332 GiB
2025-03-28 23:32:17,4.4332 GiB
2025-03-28 23:32:18,4.4332 GiB
