"Time","sum(rabbitmq_queue_messages)","sum(rate(rabbitmq_queue_messages_delivered_ack_total[5m]))","C"
2025-03-28 23:30:00,0,0,0
2025-03-28 23:30:01,0,0,0
2025-03-28 23:30:02,0,0,0
2025-03-28 23:30:03,0,0,0
2025-03-28 23:30:04,0,0,0
2025-03-28 23:30:05,0,0,0
2025-03-28 23:30:06,0,0,0
2025-03-28 23:30:07,0,0,0
2025-03-28 23:30:08,0,0,0
2025-03-28 23:30:09,0,0,0
2025-03-28 23:30:10,0,0,0
2025-03-28 23:30:11,0,0,0
2025-03-28 23:30:12,0,0,0
2025-03-28 23:30:13,0,0,0
2025-03-28 23:30:14,0,0,0
2025-03-28 23:30:15,0,0,0
2025-03-28 23:30:16,0,0,0
2025-03-28 23:30:17,0,0,0
2025-03-28 23:30:18,0,0,0
2025-03-28 23:30:19,0,0,0
2025-03-28 23:30:20,0,0,0
2025-03-28 23:30:21,0,0,0
2025-03-28 23:30:22,0,0,0
2025-03-28 23:30:23,0,0,0
2025-03-28 23:30:24,0,0.0134,0
2025-03-28 23:30:25,0,0.0134,0
2025-03-28 23:30:26,0,0.0135,0
2025-03-28 23:30:27,0,0.0135,0
2025-03-28 23:30:28,0,0.0135,0
2025-03-28 23:30:29,4,0.0501,3.81
2025-03-28 23:30:30,4,0.0503,3.81
2025-03-28 23:30:31,4,0.0505,3.81
2025-03-28 23:30:32,4,0.0506,3.81
2025-03-28 23:30:33,4,0.0508,3.81
2025-03-28 23:30:34,15,0.0902,13.8
2025-03-28 23:30:35,15,0.0905,13.8
2025-03-28 23:30:36,15,0.0908,13.8
2025-03-28 23:30:37,15,0.0911,13.7
2025-03-28 23:30:38,15,0.0914,13.7
2025-03-28 23:30:39,41,0.120,36.6
2025-03-28 23:30:40,41,0.121,36.6
2025-03-28 23:30:41,41,0.121,36.6
2025-03-28 23:30:42,41,0.122,36.6
2025-03-28 23:30:43,41,0.122,36.5
2025-03-28 23:30:44,84,0.157,72.6
2025-03-28 23:30:45,84,0.158,72.6
2025-03-28 23:30:46,84,0.158,72.5
2025-03-28 23:30:47,84,0.159,72.5
2025-03-28 23:30:48,84,0.159,72.5
2025-03-28 23:30:49,126,0.190,106
2025-03-28 23:30:50,126,0.191,106
2025-03-28 23:30:51,126,0.192,106
2025-03-28 23:30:52,126,0.192,106
2025-03-28 23:30:53,126,0.193,106
2025-03-28 23:30:54,166,0.231,135
2025-03-28 23:30:55,166,0.231,135
2025-03-28 23:30:56,166,0.232,135
2025-03-28 23:30:57,166,0.233,135
2025-03-28 23:30:58,166,0.234,135
