"Time","{instance=""rabbitmq:15692"", job=""rabbitmq""}","{instance=""rabbitmq:15692"", job=""rabbitmq""}","C {instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-03-28 23:30:00,0,0,0
2025-03-28 23:30:01,0,0,0
2025-03-28 23:30:02,0,0,0
2025-03-28 23:30:03,0,0,0
2025-03-28 23:30:04,0,0,0
2025-03-28 23:30:05,0,0,0
2025-03-28 23:30:06,0,0,0
2025-03-28 23:30:07,0,0,0
2025-03-28 23:30:08,0,0,0
2025-03-28 23:30:09,0,0,0
2025-03-28 23:30:10,0,0,0
2025-03-28 23:30:11,0,0,0
2025-03-28 23:30:12,0,0,0
2025-03-28 23:30:13,0,0,0
2025-03-28 23:30:14,0,0,0
2025-03-28 23:30:15,0,0,0
2025-03-28 23:30:16,0,0,0
2025-03-28 23:30:17,0,0,0
2025-03-28 23:30:18,0,0,0
2025-03-28 23:30:19,0,0,0
2025-03-28 23:30:20,0,0,0
2025-03-28 23:30:21,0,0,0
2025-03-28 23:30:22,0,0,0
2025-03-28 23:30:23,0,0,0
2025-03-28 23:30:24,0.0200,0.0134,1.40
2025-03-28 23:30:25,0.0201,0.0134,1.40
2025-03-28 23:30:26,0.0202,0.0135,1.40
2025-03-28 23:30:27,0.0203,0.0135,1.40
2025-03-28 23:30:28,0.0203,0.0135,1.40
2025-03-28 23:30:29,0.0835,0.0501,1.63
2025-03-28 23:30:30,0.0838,0.0503,1.63
2025-03-28 23:30:31,0.0841,0.0505,1.63
2025-03-28 23:30:32,0.0844,0.0506,1.63
2025-03-28 23:30:33,0.0847,0.0508,1.63
2025-03-28 23:30:34,0.180,0.0902,1.98
2025-03-28 23:30:35,0.181,0.0905,1.98
2025-03-28 23:30:36,0.182,0.0908,1.98
2025-03-28 23:30:37,0.182,0.0911,1.98
2025-03-28 23:30:38,0.183,0.0914,1.98
2025-03-28 23:30:39,0.324,0.120,2.67
2025-03-28 23:30:40,0.325,0.121,2.67
2025-03-28 23:30:41,0.326,0.121,2.67
2025-03-28 23:30:42,0.327,0.122,2.67
2025-03-28 23:30:43,0.328,0.122,2.67
2025-03-28 23:30:44,0.505,0.157,3.19
2025-03-28 23:30:45,0.506,0.158,3.19
2025-03-28 23:30:46,0.508,0.158,3.19
2025-03-28 23:30:47,0.510,0.159,3.19
2025-03-28 23:30:48,0.511,0.159,3.19
2025-03-28 23:30:49,0.675,0.190,3.53
2025-03-28 23:30:50,0.677,0.191,3.53
2025-03-28 23:30:51,0.679,0.192,3.53
2025-03-28 23:30:52,0.682,0.192,3.53
